time[s],thrust[N]
0.204,507.8968333
0.2042,508.4063689
0.2044,508.4791597
0.2046,508.8431137
0.2048,508.4063689
0.205,508.5519505
0.2052,507.9696241
0.2054,507.4600885
0.2056,506.2226449
0.2058,505.2035737
0.206,503.4565945
0.2062,502.1463601
0.2064,501.0544981
0.2066,499.5986822
0.2068,498.7979834
0.207,497.5605398
0.2072,497.0510042
0.2074,496.4686778
0.2076,496.1047238
0.2078,496.2503054
0.208,496.1047238
0.2082,496.9782134
0.2084,497.487749
0.2086,498.3612386
0.2088,499.307519
0.209,500.6177534
0.2092,501.7824061
0.2094,503.2382221
0.2096,504.5484565
0.2098,505.9314817
0.21,506.5865989
0.2102,507.7512517
0.2104,508.6975321
0.2106,509.5710216
0.2108,509.7166032
0.211,509.8621848
0.2112,510.0077664
0.2114,509.8621848
0.2116,509.3526492
0.2118,508.6975321
0.212,508.1152057
0.2122,507.0961345
0.2124,506.2226449
0.2126,504.6212473
0.2128,503.6021761
0.213,502.5103141
0.2132,501.0544981
0.2134,499.8898454
0.2136,498.7251926
0.2138,497.851703
0.214,497.2693766
0.2142,496.8326318
0.2144,496.9782134
0.2146,497.3421674
0.2148,498.4340294
0.215,499.2347282
0.2152,500.6905442
0.2154,501.7824061
0.2156,502.5103141
0.2158,504.2572933
0.216,505.2763645
0.2162,506.2226449
0.2164,507.1689253
0.2166,507.9696241
0.2168,508.6247413
0.217,509.8621848
0.2172,510.2261388
0.2174,510.517302
0.2176,510.6628836
0.2178,510.4445112
0.218,510.4445112
0.2182,509.8621848
0.2184,508.6975321
0.2186,507.9696241
0.2188,506.7321805
0.219,505.7131093
0.2192,504.6940381
0.2194,503.4565945
0.2196,502.1463601
0.2198,501.0544981
0.22,500.1082178
0.2202,499.3803098
0.2204,498.7979834
0.2206,498.3612386
0.2208,498.3612386
0.221,498.6524018
0.2212,498.8707742
0.2214,499.9626362
0.2216,500.6177534
0.2218,501.6368245
0.222,503.0198497
0.2222,504.0389209
0.2224,505.2763645
0.2226,506.3682265
0.2228,507.3145069
0.223,508.1152057
0.2232,508.9886952
0.2234,509.7166032
0.2236,510.0077664
0.2238,509.9349756
0.224,509.789394
0.2242,509.2070676
0.2244,508.7703229
0.2246,508.0424149
0.2248,506.8777621
0.225,505.7131093
0.2252,504.4028749
0.2254,503.2382221
0.2256,501.7824061
0.2258,500.5449626
0.226,499.4531006
0.2262,498.2884478
0.2264,497.3421674
0.2266,496.5414686
0.2268,496.3230962
0.227,496.395887
0.2272,496.4686778
0.2274,497.4149582
0.2276,498.3612386
0.2278,499.0163558
0.228,500.1810086
0.2282,501.2000797
0.2284,502.5831049
0.2286,503.6021761
0.2288,504.8396197
0.229,506.0770633
0.2292,506.7321805
0.2294,507.7512517
0.2296,507.8240425
0.2298,508.6975321
0.23,508.6975321
0.2302,508.9159044
0.2304,508.4791597
0.2306,508.3335781
0.2308,507.4600885
0.231,506.5865989
0.2312,505.5675277
0.2314,504.1845025
0.2316,502.5103141
0.2318,501.1272889
0.232,499.5986822
0.2322,497.9244938
0.2324,497.0510042
0.2326,496.1047238
0.2328,495.667979
0.233,495.5223974
0.2332,495.304025
0.2334,495.667979
0.2336,496.5414686
0.2338,497.5605398
0.234,498.5068202
0.2342,499.7442638
0.2344,500.8361257
0.2346,502.2919417
0.2348,503.4565945
0.235,504.8396197
0.2352,506.2954357
0.2354,507.3145069
0.2356,508.0424149
0.2358,508.5519505
0.236,509.1342768
0.2362,509.2798584
0.2364,509.2798584
0.2366,509.2070676
0.2368,508.5519505
0.237,508.4063689
0.2372,507.2417161
0.2374,506.3682265
0.2376,505.1307829
0.2378,503.6021761
0.238,502.7286865
0.2382,501.2728705
0.2384,499.9626362
0.2386,499.1619374
0.2388,498.5068202
0.239,497.7789122
0.2392,497.487749
0.2394,497.123795
0.2396,497.1965858
0.2398,497.487749
0.24,498.215657
0.2402,499.1619374
0.2404,500.1810086
0.2406,501.0544981
0.2408,502.0735693
0.241,503.6021761
0.2412,504.5484565
0.2414,505.7131093
0.2416,506.8049713
0.2418,507.6056701
0.242,508.5519505
0.2422,509.1342768
0.2424,509.5710216
0.2426,509.9349756
0.2428,509.5710216
0.243,509.789394
0.2432,509.42544
0.2434,508.9159044
0.2436,507.8968333
0.2438,506.6593897
0.244,505.5675277
0.2442,504.1845025
0.2444,502.8742681
0.2446,501.5640337
0.2448,500.1810086
0.245,499.3803098
0.2452,498.215657
0.2454,497.7789122
0.2456,497.1965858
0.2458,497.1965858
0.246,497.487749
0.2462,497.6333306
0.2464,498.5068202
0.2466,499.1619374
0.2468,500.1082178
0.247,500.9089165
0.2472,502.0735693
0.2474,503.0198497
0.2476,503.8933393
0.2478,504.6940381
0.248,505.4219461
0.2482,506.0770633
0.2484,506.8049713
0.2486,507.3145069
0.2488,507.6784609
0.249,507.7512517
0.2492,507.1689253
0.2494,506.9505529
0.2496,506.5138081
0.2498,505.9314817
0.25,504.9852013
0.2502,503.6021761
0.2504,502.2919417
0.2506,501.1272889
0.2508,499.8898454
0.251,498.579611
0.2512,497.4149582
0.2514,496.1047238
0.2516,495.667979
0.2518,495.1584434
0.252,495.304025
0.2522,495.2312342
0.2524,495.4496066
0.2526,496.1047238
0.2528,496.759841
0.253,497.9244938
0.2532,498.4340294
0.2534,499.307519
0.2536,500.6177534
0.2538,501.4912429
0.254,502.5831049
0.2542,503.3110129
0.2544,504.0389209
0.2546,504.6212473
0.2548,504.8396197
0.255,505.4947369
0.2552,505.5675277
0.2554,505.2763645
0.2556,504.8396197
0.2558,504.2572933
0.256,503.6749669
0.2562,502.8014773
0.2564,501.4912429
0.2566,500.6177534
0.2568,499.0163558
0.257,498.0700754
0.2572,496.8326318
0.2574,496.031933
0.2576,495.0856526
0.2578,494.212163
0.258,494.3577446
0.2582,493.9209998
0.2584,494.212163
0.2586,494.5033262
0.2588,494.576117
0.259,495.667979
0.2592,496.031933
